iter	Passed	Remaining
324	7303698	3932760
325	7330688	3912698
326	7357350	3892420
327	7381214	3870637
328	7408845	3850798
329	7432529	3828878
330	7458037	3807880
331	7480298	3785211
332	7504603	3763570
333	7527005	3740966
334	7557779	3722488
335	7586927	3703143
336	7605863	3678800
337	7627825	3655939
338	7656761	3636396
339	7676476	3612459
340	7702507	3591491
341	7726526	3569564
342	7754677	3549517
343	7777917	3527195
344	7800150	3504415
345	7824455	3482561
346	7845192	3459119
347	7868097	3436640
348	7890182	3413803
349	7917380	3393163
350	7938964	3370101
351	7968407	3350353
352	7994716	3329244
353	8013926	3305178
354	8038598	3283371
355	8065742	3262547
356	8089410	3240296
357	8108972	3216408
358	8132678	3194171
359	8150766	3169742
360	8175317	3147836
361	8203329	3127236
362	8224106	3103863
363	8246760	3081207
364	8276237	3061074
365	8305703	3040885
366	8331653	3019373
367	8351219	2995546
368	8373613	2972746
369	8399617	2951216
370	8422275	2928500
371	8444032	2905473
372	8475678	2885820
373	8500240	2863717
374	8526315	2842105
375	8548061	2819041
376	8570762	2796296
377	8591943	2773061
378	8616858	2751028
379	8639113	2728141
380	8660801	2705079
381	8688054	2683744
382	8709904	2660727
383	8731751	2637716
384	8751502	2614085
385	8779647	2592952
386	8801932	2570073
387	8824089	2547159
388	8846203	2524238
389	8868177	2501280
390	8894319	2479490
391	8917693	2456915
392	8940812	2434266
393	8962174	2411143
394	8989010	2389483
395	9016592	2367993
396	9037529	2344749
397	9062602	2322576
398	9085386	2299809
399	9106744	2276686
400	9136960	2255758
401	9163921	2233990
402	9184852	2210746
403	9207428	2187903
404	9233826	2165959
405	9254637	2142699
406	9275547	2119474
407	9305438	2098285
408	9333300	2076602
409	9356407	2053845
410	9379504	2031084
411	9404457	2008719
412	9431339	1986746
413	9455697	1964226
414	9475934	1940853
415	9503846	1919045
416	9534182	1897691
417	9558254	1875064
418	9586877	1853310
419	9614698	1831371
420	9638210	1808595
421	9660346	1785561
422	9688198	1763572
423	9715335	1741427
424	9735302	1717994
425	9758026	1695056
426	9781410	1672231
427	9801089	1648781
428	9823401	1625784
429	9852883	1603957
430	9875018	1580919
431	9902087	1558661
432	9924055	1535592
433	9945330	1512423
434	9969415	1489682
435	9995294	1467199
436	10022804	1444935
437	10045120	1421912
438	10066592	1398774
439	10090490	1375975
440	10117371	1353571
441	10146825	1331483
442	10175622	1309278
443	10195136	1285873
444	10212815	1262258
445	10235650	1239294
446	10259359	1216434
447	10281680	1193409
448	10302543	1170222
449	10324332	1147148
450	10344572	1123911
451	10364307	1100634
452	10389526	1077942
453	10413774	1055140
454	10438425	1032371
455	10459074	1009208
456	10479515	986037
457	10503531	963205
458	10526270	940255
459	10550521	917436
460	10577696	894859
461	10604806	872256
462	10625956	849158
463	10647541	826102
464	10672479	803304
465	10695958	780391
466	10717438	757335
467	10738867	734281
468	10764327	711501
469	10791705	688832
470	10810315	665603
471	10830199	642469
472	10850912	619396
473	10877803	596672
474	10897152	573534
475	10915841	550378
476	10936281	527325
477	10960589	504462
478	10978801	481325
479	11003665	458486
480	11028370	435632
481	11054872	412837
482	11084281	390129
483	11112196	367345
484	11137872	344470
485	11159348	321462
486	11180921	298464
487	11204552	275521
488	11228649	252587
489	11247748	229545
490	11267394	206530
491	11288237	183548
492	11312102	160618
493	11332583	137642
494	11358592	114733
495	11387338	91833
496	11405919	68848
497	11425657	45886
498	11449940	22945
499	11475958	0
