iter	Accuracy	MultiClass
105	0.5873666667	86.14671064
106	0.5923388889	85.84876595
107	0.5937	85.7408314
108	0.5946	84.68548589
109	0.60725	84.41238341
110	0.6000166667	83.78734048
111	0.6016277778	83.45952304
112	0.6032333333	83.42081974
113	0.6031	83.17887552
114	0.6028222222	82.28372344
115	0.6043611111	82.2124041
116	0.6048833333	82.15386541
117	0.6047833333	82.14017081
118	0.6048166667	82.12096766
119	0.6031444444	81.85297861
120	0.6041944444	81.81462709
121	0.6041555556	81.76705568
122	0.60395	81.62728964
123	0.6038	81.36743952
124	0.6042277778	80.99740508
125	0.6052722222	80.88920765
126	0.6053777778	80.86917985
127	0.6055277778	80.84559618
128	0.6045166667	80.79829704
129	0.6047833333	80.74238508
130	0.6042333333	80.64538776
131	0.6047722222	80.5550643
132	0.6064388889	80.4836049
133	0.6059888889	80.45488864
134	0.6061888889	80.43253934
135	0.6053	80.28794849
136	0.6004277778	79.51866576
137	0.60165	79.36843065
138	0.60225	79.32123111
139	0.6018277778	79.096417
140	0.6023666667	79.07419675
141	0.6038	78.95980404
142	0.6042611111	78.88180879
143	0.6045055556	78.8472279
144	0.60415	78.74927947
145	0.6043722222	78.73382985
146	0.6050166667	78.71504429
147	0.6042555556	78.66032272
148	0.6042777778	78.6090291
149	0.6048833333	78.59568376
150	0.6048	78.56297471
151	0.6053611111	78.4964291
152	0.6041888889	78.44540043
153	0.6051833333	78.38981463
154	0.6058611111	78.38278035
155	0.6055	78.24742686
156	0.6059222222	78.20239188
157	0.6038	78.06666381
158	0.6045055556	77.94817774
159	0.6061611111	77.91496354
160	0.6062111111	77.84284305
161	0.6061722222	77.83100921
162	0.6059611111	77.81781366
163	0.6059333333	77.77531215
164	0.6061611111	77.74023439
165	0.6062388889	77.59381983
166	0.6063388889	77.57425983
167	0.6070333333	77.56766254
168	0.6043888889	76.57451905
169	0.6059666667	76.44926992
170	0.6055888889	76.09729026
171	0.6059111111	76.02720115
172	0.6069166667	75.97495294
173	0.6065611111	75.89744875
174	0.6069666667	75.88314132
175	0.6082333333	75.80528658
176	0.6075333333	75.75594767
177	0.6080555556	75.73343984
178	0.6079555556	75.68895852
179	0.6078944444	75.65348893
180	0.6077222222	75.60679836
181	0.6080166667	75.60103074
182	0.60765	75.57502587
183	0.6059055556	74.84243335
184	0.6061722222	74.80979797
185	0.6063944444	74.77087914
186	0.6058277778	74.02083489
187	0.6062888889	73.97248553
188	0.6067111111	73.86671604
189	0.6062944444	73.22291931
190	0.6077277778	73.19163166
191	0.6084388889	73.16176516
192	0.6074166667	73.12704821
193	0.6079055556	73.07605463
194	0.6092055556	73.04603877
195	0.6086888889	72.92477269
196	0.6088222222	72.90435004
197	0.6083333333	72.8698587
198	0.6085222222	72.80720128
199	0.6085277778	72.79960732
200	0.6087055556	72.76916942
201	0.6082	72.74208392
202	0.6075055556	72.06621536
203	0.6078555556	72.01435876
204	0.6076611111	71.96714213
205	0.6082777778	71.92071512
206	0.6088888889	71.83399306
207	0.6080055556	71.77967514
208	0.6084333333	71.73615633
209	0.6084111111	71.64015218
210	0.6086722222	71.61613627
211	0.6092277778	71.5992758
212	0.6095388889	71.55930352
213	0.6097722222	71.54323494
214	0.6095666667	71.48927664
215	0.6092555556	71.41630961
216	0.6072888889	70.65654816
217	0.6077333333	70.61705288
218	0.6078	70.5736305
219	0.6086888889	70.55781017
220	0.6085	70.5104456
221	0.6046388889	69.95463896
222	0.6059944444	69.90735892
223	0.6067277778	69.83764762
224	0.60755	69.8186906
225	0.6082055556	69.81331273
226	0.6080944444	69.80542883
227	0.6085222222	69.7467034
228	0.6079888889	69.6131669
229	0.6082444444	69.53897159
230	0.6076888889	69.52924414
231	0.6086444444	69.50883511
232	0.6086555556	69.45545789
233	0.6090333333	69.42997858
234	0.6093611111	69.32508443
235	0.6095222222	69.32362568
236	0.6091888889	69.23385768
237	0.609	69.19427072
238	0.6088166667	69.1363198
239	0.6092388889	69.11359615
240	0.6088111111	69.09259651
241	0.6081222222	69.05776112
242	0.6080888889	68.95152399
243	0.6085777778	68.91751917
244	0.6082611111	68.86307109
245	0.6069888889	68.48078409
246	0.6079555556	68.43386365
247	0.6086666667	68.40784347
248	0.6076388889	68.28920433
249	0.6085777778	68.21969203
250	0.6071444444	68.15482075
251	0.6073833333	68.1186779
252	0.6065	68.05487958
253	0.6084944444	68.02096908
254	0.60805	67.46949549
255	0.6067833333	67.3678082
256	0.6083777778	67.26096281
257	0.6087277778	67.21492566
258	0.6071666667	66.7633278
259	0.60695	66.46160029
260	0.6072111111	66.45719371
261	0.6070666667	65.89339184
262	0.6086277778	65.72298269
263	0.6085944444	65.70033343
264	0.6091888889	65.69703977
265	0.6092555556	65.62713372
266	0.6086777778	65.59959378
267	0.6089166667	65.56329044
268	0.6088388889	65.38434977
269	0.6080277778	65.35855461
270	0.6085388889	65.32710027
271	0.6087	65.20321062
272	0.6093888889	65.18613372
273	0.6098611111	65.11081945
274	0.6105388889	65.05066702
275	0.6093555556	64.99307076
276	0.6098166667	64.97128431
277	0.6102166667	64.96980757
278	0.6103055556	64.83810645
279	0.6104111111	64.83376246
280	0.6104777778	64.82740989
281	0.61075	64.78734472
282	0.6106055556	64.75464551
283	0.6101388889	64.74324425
284	0.6098055556	64.74211059
285	0.6102611111	64.71819131
286	0.6099277778	64.65462094
287	0.6096555556	64.37909139
288	0.6101111111	64.37246029
289	0.6102833333	64.18958462
290	0.6090333333	64.12953038
291	0.6088611111	63.94019744
292	0.6098555556	63.92149161
293	0.6106722222	63.90598541
294	0.6105055556	63.72957304
295	0.6089666667	63.26800054
296	0.6090444444	63.2455032
297	0.6094388889	63.17405056
298	0.6105111111	63.11071333
299	0.6106166667	63.09236652
300	0.6108333333	63.03065952
301	0.6110666667	63.02973873
302	0.6113222222	63.01024904
303	0.6113944444	63.00073297
304	0.6113555556	62.99702404
305	0.6113888889	62.9927437
306	0.6115333333	62.98712238
307	0.6118833333	62.98039945
308	0.6120055556	62.97609266
309	0.6121944444	62.97313929
310	0.6125388889	62.97216286
311	0.6124611111	62.97144544
312	0.6131166667	62.95940149
313	0.6134388889	62.95739031
314	0.6134055556	62.95698
315	0.6127	62.93142554
316	0.61325	62.93020424
317	0.6135333333	62.88269212
318	0.6131055556	62.80512413
319	0.6126055556	62.75816268
320	0.6129833333	62.7555335
321	0.6134944444	62.74204194
322	0.6141055556	62.66778587
323	0.6133166667	62.64010002
324	0.6132777778	62.63948811
325	0.6134222222	62.63888124
326	0.6132888889	62.60699945
327	0.6130444444	62.53046933
328	0.6133277778	62.52876556
329	0.6131333333	62.49680155
330	0.6131444444	62.48187633
331	0.6130888889	62.43154246
332	0.6129722222	62.39327236
333	0.6135388889	62.37573425
334	0.6134444444	62.37495279
335	0.6137555556	62.37387465
336	0.6132444444	62.32536539
337	0.6130722222	62.31291313
338	0.6135111111	62.30043883
339	0.6130666667	62.28267061
340	0.6128222222	62.2062023
341	0.6129944444	62.20476745
342	0.6130111111	62.20124947
343	0.6131277778	62.19708193
344	0.6126777778	62.17062103
345	0.6126111111	62.1440143
346	0.6129166667	62.0926854
347	0.6118833333	62.02973921
348	0.6121722222	61.89766951
349	0.6118833333	61.89118868
350	0.6124166667	61.87747332
351	0.6129333333	61.87193401
352	0.6131222222	61.86239437
353	0.6125833333	61.84964002
354	0.6129888889	61.79613589
355	0.61305	61.7954481
356	0.6133055556	61.6749691
357	0.6134611111	61.6349672
358	0.6137277778	61.62991151
359	0.6118	60.92096671
360	0.6125	60.89289554
361	0.6135166667	60.88298596
362	0.6126833333	60.58312208
363	0.6136888889	60.55878033
364	0.6137888889	60.55775731
365	0.6139333333	60.55650902
366	0.6140055556	60.55464055
367	0.6141833333	60.55094261
368	0.6139611111	60.50647652
369	0.6143222222	60.49081588
370	0.6141111111	60.48941022
371	0.6140833333	60.47679067
372	0.6143222222	60.47447108
373	0.6133055556	60.40152863
374	0.6134555556	60.40054758
375	0.6135666667	60.35540792
376	0.6136611111	60.35407517
377	0.6140277778	60.3178555
378	0.6141944444	60.30583017
379	0.6140888889	60.23991192
380	0.6146444444	60.23377204
381	0.6147111111	60.23245574
382	0.6145833333	60.22721128
383	0.6144722222	60.17887333
384	0.6146111111	60.16381402
385	0.6145555556	60.16289707
386	0.6147333333	60.15519179
387	0.6151722222	60.14268961
388	0.6157	60.13920841
389	0.6157111111	60.12859336
390	0.6157444444	60.12783923
391	0.6153944444	60.11398023
392	0.6151	60.07288856
393	0.6154388889	60.02725107
394	0.6155222222	60.02648636
395	0.6157944444	60.02547452
396	0.6157388889	59.97834352
397	0.6160388889	59.97785449
398	0.6159277778	59.97389068
399	0.6161777778	59.89972297
400	0.6161777778	59.89933451
401	0.6158611111	59.87477336
402	0.6160055556	59.87225105
403	0.6159555556	59.87012887
404	0.6162944444	59.86889699
405	0.6153444444	59.85535371
406	0.6157222222	59.82444997
407	0.6160166667	59.82304826
408	0.6157055556	59.81069167
409	0.6151111111	59.78274964
410	0.6149666667	59.77583108
411	0.6150944444	59.77539906
412	0.6151055556	59.77485189
413	0.6159055556	59.76053986
414	0.6161111111	59.75558072
415	0.6147111111	59.72424265
416	0.6147555556	59.72412381
417	0.6151777778	59.72384562
418	0.6153555556	59.72004224
419	0.6158388889	59.71864348
420	0.6160277778	59.71290625
421	0.6160111111	59.69820186
422	0.6159	59.69665286
423	0.6157444444	59.69520853
424	0.6161444444	59.68992631
425	0.6167	59.68659773
426	0.6160333333	59.63326232
427	0.6162777778	59.59979638
428	0.6163055556	59.5959006
429	0.6159388889	59.5921833
430	0.6159833333	59.58685196
431	0.6160944444	59.58626527
432	0.6155277778	59.56543735
433	0.6158611111	59.56057329
434	0.6163388889	59.52821628
435	0.6164833333	59.52666256
436	0.6164611111	59.5266143
437	0.6166222222	59.51635387
438	0.6165166667	59.50504566
439	0.6164777778	59.45471223
440	0.6165888889	59.4542448
441	0.6166166667	59.45420867
442	0.6166555556	59.45081149
443	0.6167777778	59.4154775
444	0.6172444444	59.36065766
445	0.6171055556	59.34175919
446	0.6170666667	59.31404685
447	0.6172277778	59.31271143
448	0.6174	59.29640585
449	0.6171722222	59.25243038
450	0.6171833333	59.22854624
451	0.6175888889	59.21248445
452	0.6170444444	59.16363574
453	0.6170888889	59.15712971
454	0.6173555556	59.15334816
455	0.6174222222	59.13626273
456	0.6174444444	59.10094352
457	0.6172055556	59.10012106
458	0.6172166667	59.09592892
459	0.6174055556	59.09538248
460	0.6173722222	59.09502833
461	0.61745	59.08893065
462	0.6177833333	59.08832294
463	0.6177722222	59.08585521
464	0.6177611111	59.07939373
465	0.6179833333	59.06154199
466	0.6181555556	59.06137507
467	0.6170944444	59.05652875
468	0.6175444444	59.05345057
469	0.6176555556	59.05334327
470	0.6175833333	58.97830771
471	0.6180222222	58.88888317
472	0.6177611111	58.82933814
473	0.6179333333	58.82827505
474	0.6182777778	58.76122493
475	0.6183166667	58.64514557
476	0.6168611111	58.16366049
477	0.6172666667	58.16278197
478	0.6179555556	58.10600402
479	0.6184888889	58.08545031
480	0.6187444444	58.07294138
481	0.6188222222	58.05939385
482	0.61855	58.04716791
483	0.6180444444	58.01785963
484	0.6181555556	57.98876722
485	0.6183611111	57.98607552
486	0.6177055556	57.86221921
487	0.6179166667	57.86167039
488	0.6182111111	57.85233562
489	0.6183722222	57.8379361
490	0.6188388889	57.75303129
491	0.6182666667	57.74231367
492	0.6183888889	57.72544559
493	0.6182555556	57.70769046
494	0.6181555556	57.70662797
495	0.6184	57.70628367
496	0.6186	57.67146837
497	0.6182222222	57.65440099
498	0.6181611111	57.65016218
499	0.6183222222	57.6491509
